Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AnalyticsCheck,,,2019-04-05 22:58:14,2019-04-05 22:58:32,18.002s,PASSED
,,,,,,
Test Cases/TestHTTPMethods,,,2019-04-05 22:58:14,2019-04-05 22:58:31,17.145s,PASSED
"sendRequest(findTestObject(""UserService/Listusers""))",,,2019-04-05 22:58:15,2019-04-05 22:58:20,5.624s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Createuser""))",,,2019-04-05 22:58:20,2019-04-05 22:58:23,2.136s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Listusers""))",,,2019-04-05 22:58:23,2019-04-05 22:58:24,1.736s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Updateuser""))",,,2019-04-05 22:58:24,2019-04-05 22:58:26,1.533s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Listusers""))",,,2019-04-05 22:58:26,2019-04-05 22:58:28,2.327s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Deleteuser""))",,,2019-04-05 22:58:28,2019-04-05 22:58:30,1.517s,PASSED
"sendRequestAndVerify(findTestObject(""UserService/Listusers""))",,,2019-04-05 22:58:30,2019-04-05 22:58:31,1.566s,PASSED
